Department,Year,Semester,Subject_Code,Subject_Name,Subject_Type,_ingestion_time,_source_file
Computer Engineering,1,1,CE101,Engineering Mathematics I,Core,2026-03-14T23:03:25.155014+00:00,engineering_college_curriculum_dataset.csv
Computer Engineering,1,1,CE102,Engineering Physics,Core,2026-03-14T23:03:25.155014+00:00,engineering_college_curriculum_dataset.csv
Computer Engineering,1,1,CE103,Basic Electrical Engineering,Core,2026-03-14T23:03:25.155014+00:00,engineering_college_curriculum_dataset.csv
Computer Engineering,1,1,CE104,Engineering Mechanics,Core,2026-03-14T23:03:25.155014+00:00,engineering_college_curriculum_dataset.csv
Computer Engineering,1,1,CE105,Programming for Problem Solving,Core,2026-03-14T23:03:25.155014+00:00,engineering_college_curriculum_dataset.csv
Computer Engineering,1,1,CE106,Workshop Practice Lab,Lab,2026-03-14T23:03:25.155014+00:00,engineering_college_curriculum_dataset.csv
Computer Engineering,1,2,CE201,Engineering Mathematics II,Core,2026-03-14T23:03:25.155014+00:00,engineering_college_curriculum_dataset.csv
Computer Engineering,1,2,CE202,Engineering Chemistry,Core,2026-03-14T23:03:25.155014+00:00,engineering_college_curriculum_dataset.csv
Computer Engineering,1,2,CE203,Basic Electronics Engineering,Core,2026-03-14T23:03:25.155014+00:00,engineering_college_curriculum_dataset.csv
Computer Engineering,1,2,CE204,Environmental Studies,Core,2026-03-14T23:03:25.155014+00:00,engineering_college_curriculum_dataset.csv
Computer Engineering,1,2,CE205,Engineering Graphics,Core,2026-03-14T23:03:25.155014+00:00,engineering_college_curriculum_dataset.csv
Computer Engineering,1,2,CE206,Programming Lab,Lab,2026-03-14T23:03:25.155014+00:00,engineering_college_curriculum_dataset.csv
Computer Engineering,2,3,CE301,Data Structures,Core,2026-03-14T23:03:25.155014+00:00,engineering_college_curriculum_dataset.csv
Computer Engineering,2,3,CE302,Digital Logic Design,Core,2026-03-14T23:03:25.155014+00:00,engineering_college_curriculum_dataset.csv
Computer Engineering,2,3,CE303,Computer Organization,Core,2026-03-14T23:03:25.155014+00:00,engineering_college_curriculum_dataset.csv
Computer Engineering,2,3,CE304,Object Oriented Programming,Core,2026-03-14T23:03:25.155014+00:00,engineering_college_curriculum_dataset.csv
Computer Engineering,2,3,CE305,Data Structures Lab,Lab,2026-03-14T23:03:25.155014+00:00,engineering_college_curriculum_dataset.csv
Computer Engineering,2,3,CE306,Digital Systems Lab,Lab,2026-03-14T23:03:25.155014+00:00,engineering_college_curriculum_dataset.csv
Computer Engineering,2,4,CE401,Discrete Mathematics,Core,2026-03-14T23:03:25.155014+00:00,engineering_college_curriculum_dataset.csv
Computer Engineering,2,4,CE402,Database Management Systems,Core,2026-03-14T23:03:25.155014+00:00,engineering_college_curriculum_dataset.csv
Computer Engineering,2,4,CE403,Microprocessors,Core,2026-03-14T23:03:25.155014+00:00,engineering_college_curriculum_dataset.csv
Computer Engineering,2,4,CE404,Operating Systems,Core,2026-03-14T23:03:25.155014+00:00,engineering_college_curriculum_dataset.csv
