student_id,semester_id,internship_completed,project_phase_ii_score,devops_engineering_score,extracurricular_score,certification_count
STU000001,SEM-2,0,0.0,0.0,0.0,1
STU000002,SEM-6,2,0.0,0.0,0.0,2
STU000003,SEM-6,0,0.0,0.0,0.0,2
STU000004,SEM-6,1,0.0,0.0,0.0,4
STU000005,SEM-6,1,0.0,0.0,0.0,2
STU000006,SEM-6,1,0.0,0.0,0.0,2
STU000007,SEM-2,0,0.0,0.0,0.0,0
STU000008,SEM-4,1,0.0,0.0,0.0,0
STU000009,SEM-4,0,0.0,0.0,0.0,2
STU000010,SEM-8,2,0.0,0.0,0.0,2
STU000011,SEM-4,0,0.0,0.0,0.0,1
STU000012,SEM-6,2,0.0,0.0,0.0,0
STU000013,SEM-8,0,0.0,0.0,0.0,3
STU000014,SEM-6,1,0.0,0.0,0.0,1
STU000015,SEM-2,0,0.0,0.0,0.0,0
STU000016,SEM-2,0,0.0,0.0,0.0,0
STU000017,SEM-6,2,0.0,0.0,0.0,2
STU000018,SEM-6,1,0.0,0.0,0.0,2
STU000019,SEM-8,0,0.0,0.0,0.0,4
STU000020,SEM-6,1,0.0,0.0,0.0,1
STU000021,SEM-2,0,0.0,0.0,0.0,0
STU000022,SEM-6,0,0.0,0.0,0.0,1
STU000023,SEM-4,0,0.0,0.0,0.0,1
STU000024,SEM-6,1,0.0,0.0,0.0,2
STU000025,SEM-6,1,0.0,0.0,0.0,2
STU000026,SEM-8,2,0.0,0.0,0.0,3
STU000027,SEM-4,0,0.0,0.0,0.0,1
STU000028,SEM-4,1,0.0,0.0,0.0,2
STU000029,SEM-8,2,0.0,0.0,0.0,2
STU000030,SEM-2,0,0.0,0.0,0.0,1
STU000031,SEM-2,0,0.0,0.0,0.0,0
STU000032,SEM-6,1,0.0,0.0,0.0,1
STU000033,SEM-4,1,0.0,0.0,0.0,2
STU000034,SEM-8,1,0.0,0.0,0.0,4
STU000035,SEM-4,0,0.0,0.0,0.0,0
STU000036,SEM-4,0,0.0,0.0,0.0,1
STU000037,SEM-2,0,0.0,0.0,0.0,2
STU000038,SEM-8,2,0.0,0.0,0.0,3
STU000039,SEM-6,1,0.0,0.0,0.0,4
STU000040,SEM-2,0,0.0,0.0,0.0,0
STU000041,SEM-6,1,0.0,0.0,0.0,2
STU000042,SEM-6,1,0.0,0.0,0.0,4
STU000043,SEM-4,0,0.0,0.0,0.0,2
STU000044,SEM-2,0,0.0,0.0,0.0,2
STU000045,SEM-4,0,0.0,0.0,0.0,1
STU000046,SEM-8,1,0.0,0.0,0.0,2
STU000047,SEM-8,1,0.0,0.0,0.0,1
STU000048,SEM-6,0,0.0,0.0,0.0,1
STU000049,SEM-4,0,0.0,0.0,0.0,2
STU000050,SEM-6,1,0.0,0.0,0.0,2
STU000051,SEM-2,0,0.0,0.0,0.0,0
STU000052,SEM-2,0,0.0,0.0,0.0,2
STU000053,SEM-2,0,0.0,0.0,0.0,1
STU000054,SEM-6,1,0.0,0.0,0.0,2
STU000055,SEM-6,1,0.0,0.0,0.0,1
STU000056,SEM-4,1,0.0,0.0,0.0,2
STU000057,SEM-4,0,0.0,0.0,0.0,1
STU000058,SEM-8,1,0.0,0.0,0.0,5
STU000059,SEM-2,0,0.0,0.0,0.0,2
STU000060,SEM-8,3,0.0,0.0,0.0,1
STU000061,SEM-8,2,0.0,0.0,0.0,1
STU000062,SEM-8,1,0.0,0.0,0.0,5
STU000063,SEM-6,1,0.0,0.0,0.0,2
STU000064,SEM-4,0,0.0,0.0,0.0,0
STU000065,SEM-4,1,0.0,0.0,0.0,0
STU000066,SEM-8,2,0.0,0.0,0.0,4
STU000067,SEM-4,0,0.0,0.0,0.0,3
STU000068,SEM-8,2,0.0,0.0,0.0,5
STU000069,SEM-8,3,0.0,0.0,0.0,4
STU000070,SEM-6,1,0.0,0.0,0.0,3
STU000071,SEM-6,0,0.0,0.0,0.0,3
STU000072,SEM-6,1,0.0,0.0,0.0,3
STU000073,SEM-2,0,0.0,0.0,0.0,1
STU000074,SEM-8,2,0.0,0.0,0.0,3
STU000075,SEM-8,1,0.0,0.0,0.0,2
STU000076,SEM-8,1,0.0,0.0,0.0,1
STU000077,SEM-6,2,0.0,0.0,0.0,3
STU000078,SEM-4,0,0.0,0.0,0.0,1
STU000079,SEM-4,0,0.0,0.0,0.0,1
STU000080,SEM-4,0,0.0,0.0,0.0,2
STU000081,SEM-6,1,0.0,0.0,0.0,0
STU000082,SEM-8,1,0.0,0.0,0.0,1
STU000083,SEM-2,0,0.0,0.0,0.0,0
STU000084,SEM-2,0,0.0,0.0,0.0,0
STU000085,SEM-2,0,0.0,0.0,0.0,1
STU000086,SEM-8,1,0.0,0.0,0.0,3
STU000087,SEM-8,2,0.0,0.0,0.0,2
STU000088,SEM-6,0,0.0,0.0,0.0,2
STU000089,SEM-4,0,0.0,0.0,0.0,3
STU000090,SEM-2,0,0.0,0.0,0.0,1
STU000091,SEM-2,0,0.0,0.0,0.0,0
STU000092,SEM-8,3,0.0,0.0,0.0,2
STU000093,SEM-6,2,0.0,0.0,0.0,2
STU000094,SEM-6,0,0.0,0.0,0.0,1
STU000095,SEM-2,0,0.0,0.0,0.0,0
STU000096,SEM-6,2,0.0,0.0,0.0,1
STU000097,SEM-8,1,0.0,0.0,0.0,5
STU000098,SEM-2,0,0.0,0.0,0.0,0
STU000099,SEM-4,1,0.0,0.0,0.0,2
STU000100,SEM-4,1,0.0,0.0,0.0,0
STU000101,SEM-4,1,0.0,0.0,0.0,1
STU000102,SEM-6,1,0.0,0.0,0.0,3
STU000103,SEM-2,0,0.0,0.0,0.0,0
STU000104,SEM-8,1,0.0,0.0,0.0,3
STU000105,SEM-6,0,0.0,0.0,0.0,2
STU000106,SEM-8,3,0.0,0.0,0.0,4
STU000107,SEM-8,0,0.0,0.0,0.0,4
STU000108,SEM-8,1,0.0,0.0,0.0,2
STU000109,SEM-8,1,0.0,0.0,0.0,5
STU000110,SEM-2,0,0.0,0.0,0.0,0
STU000111,SEM-8,1,0.0,0.0,0.0,4
STU000112,SEM-4,0,0.0,0.0,0.0,2
STU000113,SEM-2,0,0.0,0.0,0.0,0
STU000114,SEM-8,2,0.0,0.0,0.0,3
STU000115,SEM-4,1,0.0,0.0,0.0,3
STU000116,SEM-4,1,0.0,0.0,0.0,1
STU000117,SEM-6,1,0.0,0.0,0.0,2
STU000118,SEM-2,0,0.0,0.0,0.0,1
STU000119,SEM-2,0,0.0,0.0,0.0,1
STU000120,SEM-8,1,0.0,0.0,0.0,2
STU000121,SEM-2,0,0.0,0.0,0.0,1
STU000122,SEM-8,1,0.0,0.0,0.0,3
STU000123,SEM-4,0,0.0,0.0,0.0,0
STU000124,SEM-4,1,0.0,0.0,0.0,0
STU000125,SEM-4,0,0.0,0.0,0.0,1
STU000126,SEM-2,0,0.0,0.0,0.0,0
STU000127,SEM-6,1,0.0,0.0,0.0,0
STU000128,SEM-4,0,0.0,0.0,0.0,3
STU000129,SEM-4,1,0.0,0.0,0.0,1
STU000130,SEM-8,1,0.0,0.0,0.0,4
STU000131,SEM-4,0,0.0,0.0,0.0,1
STU000132,SEM-2,0,0.0,0.0,0.0,2
STU000133,SEM-4,1,0.0,0.0,0.0,0
STU000134,SEM-4,0,0.0,0.0,0.0,2
STU000135,SEM-6,1,0.0,0.0,0.0,4
STU000136,SEM-4,0,0.0,0.0,0.0,2
STU000137,SEM-6,1,0.0,0.0,0.0,2
STU000138,SEM-8,2,0.0,0.0,0.0,2
STU000139,SEM-8,1,0.0,0.0,0.0,4
STU000140,SEM-8,2,0.0,0.0,0.0,1
STU000141,SEM-8,1,0.0,0.0,0.0,2
STU000142,SEM-8,2,0.0,0.0,0.0,2
STU000143,SEM-4,0,0.0,0.0,0.0,0
STU000144,SEM-2,0,0.0,0.0,0.0,0
STU000145,SEM-4,1,0.0,0.0,0.0,2
STU000146,SEM-8,2,0.0,0.0,0.0,4
STU000147,SEM-6,0,0.0,0.0,0.0,3
STU000148,SEM-4,0,0.0,0.0,0.0,1
STU000149,SEM-4,0,0.0,0.0,0.0,1
STU000150,SEM-4,1,0.0,0.0,0.0,1
STU000151,SEM-4,1,0.0,0.0,0.0,2
STU000152,SEM-2,0,0.0,0.0,0.0,2
STU000153,SEM-2,0,0.0,0.0,0.0,0
STU000154,SEM-2,0,0.0,0.0,0.0,0
STU000155,SEM-2,0,0.0,0.0,0.0,0
STU000156,SEM-4,1,0.0,0.0,0.0,2
STU000157,SEM-4,0,0.0,0.0,0.0,1
STU000158,SEM-6,0,0.0,0.0,0.0,3
STU000159,SEM-6,2,0.0,0.0,0.0,1
STU000160,SEM-8,1,0.0,0.0,0.0,4
STU000161,SEM-2,0,0.0,0.0,0.0,1
STU000162,SEM-2,0,0.0,0.0,0.0,2
STU000163,SEM-6,2,0.0,0.0,0.0,3
STU000164,SEM-2,0,0.0,0.0,0.0,1
STU000165,SEM-2,0,0.0,0.0,0.0,2
STU000166,SEM-2,0,0.0,0.0,0.0,1
STU000167,SEM-6,1,0.0,0.0,0.0,2
STU000168,SEM-6,1,0.0,0.0,0.0,3
STU000169,SEM-4,1,0.0,0.0,0.0,2
STU000170,SEM-6,0,0.0,0.0,0.0,2
STU000171,SEM-4,0,0.0,0.0,0.0,3
STU000172,SEM-6,1,0.0,0.0,0.0,0
STU000173,SEM-8,3,0.0,0.0,0.0,2
STU000174,SEM-8,2,0.0,0.0,0.0,2
STU000175,SEM-8,1,0.0,0.0,0.0,4
STU000176,SEM-4,0,0.0,0.0,0.0,1
STU000177,SEM-4,1,0.0,0.0,0.0,1
STU000178,SEM-8,2,0.0,0.0,0.0,4
STU000179,SEM-8,1,0.0,0.0,0.0,3
STU000180,SEM-4,0,0.0,0.0,0.0,1
STU000181,SEM-2,0,0.0,0.0,0.0,1
STU000182,SEM-6,1,0.0,0.0,0.0,3
STU000183,SEM-2,0,0.0,0.0,0.0,2
STU000184,SEM-4,1,0.0,0.0,0.0,2
STU000185,SEM-6,2,0.0,0.0,0.0,3
STU000186,SEM-6,1,0.0,0.0,0.0,2
STU000187,SEM-2,0,0.0,0.0,0.0,2
