student_id,subject_id,semester_id,attendance_percent,total_classes,classes_attended
23AIML001,AI701,SEM-7,80.49,40,32
23AIML001,AI702,SEM-7,80.0,40,32
23AIML001,AI703,SEM-7,92.11,38,35
23AIML001,AI704,SEM-7,90.7,43,39
23AIML001,NAN,SEM-8,100.0,2,2
23AIML002,AI701,SEM-7,42.86,35,15
23AIML002,AI702,SEM-7,44.44,36,16
23AIML002,AI703,SEM-7,57.5,40,23
23AIML002,AI704,SEM-7,56.76,37,21
23AIML002,NAN,SEM-8,0.0,2,0
23AIML003,AI701,SEM-7,69.23,39,27
23AIML003,AI702,SEM-7,72.73,44,32
23AIML003,AI703,SEM-7,63.89,36,23
23AIML003,AI704,SEM-7,57.5,40,23
23AIML003,NAN,SEM-8,0.0,2,0
23CE001,CE205,SEM-2,100.0,1,1
23CE001,CE701,SEM-7,94.44,36,34
23CE001,CE702,SEM-7,95.74,47,45
23CE001,CE703,SEM-7,94.87,39,37
23CE001,CE704,SEM-7,97.73,44,43
23CE001,NAN,SEM-8,0.0,2,0
23CE002,CE205,SEM-2,0.0,1,0
23CE002,CE701,SEM-7,84.21,38,32
23CE002,CE702,SEM-7,80.95,42,34
23CE002,CE703,SEM-7,81.82,44,36
23CE002,CE704,SEM-7,80.49,41,33
23CE002,NAN,SEM-8,0.0,2,0
23CE003,CE205,SEM-2,100.0,1,1
23CE003,CE701,SEM-7,60.47,43,26
23CE003,CE702,SEM-7,76.19,42,32
23CE003,CE703,SEM-7,72.22,36,26
23CE003,CE704,SEM-7,52.78,36,19
23CE003,NAN,SEM-8,0.0,2,0
23CE011,CE701,SEM-7,69.44,36,25
23CE011,CE702,SEM-7,85.0,40,34
23CE011,CE703,SEM-7,66.67,39,26
23CE011,CE704,SEM-7,69.57,46,32
23CE011,NAN,SEM-8,0.0,2,0
23CV001,CV701,SEM-7,61.29,31,19
23CV001,CV702,SEM-7,72.73,44,32
23CV001,CV703,SEM-7,62.86,35,22
23CV001,CV704,SEM-7,53.85,39,21
23CV001,NAN,SEM-8,0.0,2,0
23CV002,CV701,SEM-7,83.72,43,36
23CV002,CV702,SEM-7,84.85,33,28
23CV002,CV703,SEM-7,86.67,45,39
23CV002,CV704,SEM-7,79.55,44,35
23CV002,NAN,SEM-8,0.0,2,0
23CV003,CV701,SEM-7,61.36,44,27
23CV003,CV702,SEM-7,40.54,37,15
23CV003,CV703,SEM-7,42.11,38,16
23CV003,CV704,SEM-7,60.98,41,25
23CV003,NAN,SEM-8,0.0,2,0
23EC001,EC701,SEM-7,92.86,42,39
23EC001,EC702,SEM-7,92.11,38,35
23EC001,EC703,SEM-7,94.74,38,36
23EC001,EC704,SEM-7,94.59,37,35
23EC001,NAN,SEM-8,0.0,2,0
23EC002,EC701,SEM-7,61.54,39,24
23EC002,EC702,SEM-7,60.47,43,26
23EC002,EC703,SEM-7,43.18,44,19
23EC002,EC704,SEM-7,66.67,42,28
23EC002,NAN,SEM-8,0.0,2,0
23EC003,EC701,SEM-7,66.67,42,28
23EC003,EC702,SEM-7,76.19,42,32
23EC003,EC703,SEM-7,69.23,39,27
23EC003,EC704,SEM-7,51.43,35,18
23EC003,NAN,SEM-8,0.0,2,0
23EE001,EE701,SEM-7,95.65,46,44
23EE001,EE702,SEM-7,88.37,43,38
23EE001,EE703,SEM-7,90.91,33,30
23EE001,EE704,SEM-7,91.18,34,31
23EE001,NAN,SEM-8,0.0,2,0
23EE002,EE701,SEM-7,94.44,36,34
23EE002,EE702,SEM-7,92.5,40,37
23EE002,EE703,SEM-7,95.35,43,41
23EE002,EE704,SEM-7,86.36,44,38
23EE002,NAN,SEM-8,0.0,2,0
23EE003,EE701,SEM-7,84.62,39,33
23EE003,EE702,SEM-7,85.37,41,35
23EE003,EE703,SEM-7,89.29,28,25
23EE003,EE704,SEM-7,88.37,43,38
23EE003,NAN,SEM-8,0.0,2,0
23IT001,IT701,SEM-7,81.58,38,31
23IT001,IT702,SEM-7,89.47,38,34
23IT001,IT703,SEM-7,85.29,34,29
23IT001,IT704,SEM-7,86.84,38,33
23IT001,NAN,SEM-8,0.0,2,0
23IT002,IT701,SEM-7,66.67,33,22
23IT002,IT702,SEM-7,76.19,42,32
23IT002,IT703,SEM-7,62.86,35,22
23IT002,IT704,SEM-7,57.14,35,20
23IT002,NAN,SEM-8,0.0,2,0
23IT003,IT701,SEM-7,71.05,38,27
23IT003,IT702,SEM-7,71.43,42,30
23IT003,IT703,SEM-7,63.41,41,26
23IT003,IT704,SEM-7,80.49,41,33
23IT003,NAN,SEM-8,0.0,2,0
23ME001,ME701,SEM-7,96.43,28,27
23ME001,ME702,SEM-7,90.24,41,37
23ME001,ME703,SEM-7,94.12,34,32
23ME001,ME704,SEM-7,93.02,43,40
23ME001,NAN,SEM-8,0.0,2,0
23ME002,ME701,SEM-7,82.35,34,28
23ME002,ME702,SEM-7,82.98,47,39
23ME002,ME703,SEM-7,85.0,40,34
23ME002,ME704,SEM-7,82.5,40,33
23ME002,NAN,SEM-8,0.0,2,0
23ME003,ME701,SEM-7,74.47,47,35
23ME003,ME702,SEM-7,89.19,37,33
23ME003,ME703,SEM-7,91.67,36,33
23ME003,ME704,SEM-7,79.41,34,27
23ME003,NAN,SEM-8,0.0,2,0
24AIML001,AI501,SEM-5,65.0,40,26
24AIML001,AI502,SEM-5,64.29,42,27
24AIML001,AI503,SEM-5,75.0,32,24
24AIML001,AI504,SEM-5,79.07,43,34
24AIML001,NAN,SEM-6,0.0,2,0
24AIML002,AI501,SEM-5,86.84,38,33
24AIML002,AI502,SEM-5,95.35,43,41
24AIML002,AI503,SEM-5,94.87,39,37
24AIML002,AI504,SEM-5,97.3,37,36
24AIML002,NAN,SEM-6,0.0,2,0
24AIML003,AI501,SEM-5,83.33,42,35
24AIML003,AI502,SEM-5,97.67,43,42
24AIML003,AI503,SEM-5,81.25,32,26
24AIML003,AI504,SEM-5,76.47,34,26
24AIML003,NAN,SEM-6,0.0,2,0
24CE001,CE501,SEM-5,63.16,38,24
24CE001,CE502,SEM-5,79.49,39,31
24CE001,CE503,SEM-5,62.16,37,23
24CE001,CE504,SEM-5,60.98,41,25
24CE001,NAN,SEM-6,0.0,2,0
24CE002,CE501,SEM-5,94.87,39,37
24CE002,CE502,SEM-5,94.59,37,35
24CE002,CE503,SEM-5,100.0,29,29
24CE002,CE504,SEM-5,92.86,42,39
24CE002,NAN,SEM-6,0.0,2,0
24CE003,CE501,SEM-5,56.41,39,22
24CE003,CE502,SEM-5,65.52,29,19
24CE003,CE503,SEM-5,76.92,39,30
24CE003,CE504,SEM-5,64.1,39,25
24CE003,NAN,SEM-6,0.0,2,0
24CV001,CV501,SEM-5,73.68,38,28
24CV001,CV502,SEM-5,80.56,36,29
24CV001,CV503,SEM-5,56.1,41,23
24CV001,CV504,SEM-5,54.76,42,23
24CV001,NAN,SEM-6,0.0,2,0
24CV002,CV501,SEM-5,80.95,42,34
24CV002,CV502,SEM-5,90.24,41,37
24CV002,CV503,SEM-5,77.27,44,34
24CV002,CV504,SEM-5,84.62,39,33
24CV002,NAN,SEM-6,0.0,2,0
24CV003,CV501,SEM-5,84.62,39,33
24CV003,CV502,SEM-5,90.91,44,40
24CV003,CV503,SEM-5,77.27,44,34
24CV003,CV504,SEM-5,91.18,34,31
24CV003,NAN,SEM-6,0.0,2,0
24EC001,EC501,SEM-5,71.11,45,32
24EC001,EC502,SEM-5,79.49,39,31
24EC001,EC503,SEM-5,60.0,35,21
24EC001,EC504,SEM-5,62.5,40,25
24EC001,NAN,SEM-6,0.0,2,0
24EC002,EC501,SEM-5,53.85,39,21
24EC002,EC502,SEM-5,54.55,44,24
24EC002,EC503,SEM-5,46.88,32,15
24EC002,EC504,SEM-5,53.66,41,22
24EC002,NAN,SEM-6,0.0,2,0
24EC003,EC501,SEM-5,83.33,36,30
24EC003,EC502,SEM-5,68.29,41,28
24EC003,EC503,SEM-5,72.34,47,34
24EC003,EC504,SEM-5,65.85,41,27
24EC003,NAN,SEM-6,0.0,2,0
24EE001,EE501,SEM-5,88.57,35,31
24EE001,EE502,SEM-5,94.87,39,37
24EE001,EE503,SEM-5,100.0,39,39
24EE001,EE504,SEM-5,95.45,44,42
24EE001,NAN,SEM-6,0.0,2,0
24EE002,EE501,SEM-5,76.32,38,29
24EE002,EE502,SEM-5,84.62,39,33
24EE002,EE503,SEM-5,96.67,30,29
24EE002,EE504,SEM-5,93.02,43,40
24EE002,NAN,SEM-6,0.0,2,0
24EE003,EE501,SEM-5,92.16,51,47
24EE003,EE502,SEM-5,77.27,44,34
24EE003,EE503,SEM-5,71.43,42,30
24EE003,EE504,SEM-5,82.61,46,38
24EE003,NAN,SEM-6,0.0,2,0
24IT001,IT501,SEM-5,95.12,41,39
24IT001,IT502,SEM-5,97.67,43,42
24IT001,IT503,SEM-5,92.68,41,38
24IT001,IT504,SEM-5,94.87,39,37
24IT001,NAN,SEM-6,0.0,2,0
24IT002,IT501,SEM-5,85.0,40,34
24IT002,IT502,SEM-5,88.37,43,38
24IT002,IT503,SEM-5,87.18,39,34
24IT002,IT504,SEM-5,77.08,48,37
24IT002,NAN,SEM-6,0.0,2,0
24IT003,IT501,SEM-5,84.62,39,33
24IT003,IT502,SEM-5,74.19,31,23
24IT003,IT503,SEM-5,86.84,38,33
24IT003,IT504,SEM-5,85.0,40,34
24IT003,NAN,SEM-6,0.0,2,0
24ME001,ME501,SEM-5,85.0,40,34
24ME001,ME502,SEM-5,78.95,38,30
24ME001,ME503,SEM-5,80.0,25,20
24ME001,ME504,SEM-5,82.98,47,39
24ME001,NAN,SEM-6,0.0,2,0
24ME002,ME501,SEM-5,91.67,36,33
24ME002,ME502,SEM-5,92.5,40,37
24ME002,ME503,SEM-5,97.56,41,40
24ME002,ME504,SEM-5,94.12,34,32
24ME002,NAN,SEM-6,0.0,2,0
24ME003,ME501,SEM-5,97.06,34,33
24ME003,ME502,SEM-5,87.8,41,36
24ME003,ME503,SEM-5,90.0,40,36
24ME003,ME504,SEM-5,91.67,36,33
24ME003,NAN,SEM-6,0.0,2,0
25AIML001,AI301,SEM-3,94.59,37,35
25AIML001,AI302,SEM-3,93.33,30,28
25AIML001,AI303,SEM-3,100.0,39,39
25AIML001,AI304,SEM-3,95.35,43,41
25AIML001,NAN,SEM-4,0.0,2,0
25AIML002,AI301,SEM-3,52.27,44,23
25AIML002,AI302,SEM-3,69.7,33,23
25AIML002,AI303,SEM-3,43.24,37,16
25AIML002,AI304,SEM-3,44.44,36,16
25AIML002,NAN,SEM-4,0.0,2,0
25AIML003,AI301,SEM-3,90.0,40,36
25AIML003,AI302,SEM-3,73.68,38,28
25AIML003,AI303,SEM-3,68.42,38,26
25AIML003,AI304,SEM-3,79.07,43,34
25AIML003,NAN,SEM-4,0.0,2,0
25AIML004,AI301,SEM-3,51.11,45,23
25AIML004,AI302,SEM-3,57.5,40,23
25AIML004,AI303,SEM-3,54.35,46,25
25AIML004,AI304,SEM-3,38.46,39,15
25AIML004,NAN,SEM-4,0.0,2,0
25CE001,CE301,SEM-3,61.76,34,21
25CE001,CE302,SEM-3,43.59,39,17
25CE001,CE303,SEM-3,43.9,41,18
25CE001,CE304,SEM-3,43.59,39,17
25CE001,NAN,SEM-4,0.0,2,0
25CE002,CE301,SEM-3,61.11,36,22
25CE002,CE302,SEM-3,60.0,35,21
25CE002,CE303,SEM-3,54.76,42,23
25CE002,CE304,SEM-3,40.0,40,16
25CE002,NAN,SEM-4,0.0,2,0
25CE003,CE301,SEM-3,91.43,35,32
25CE003,CE302,SEM-3,90.91,44,40
25CE003,CE303,SEM-3,95.0,40,38
25CE003,CE304,SEM-3,94.59,37,35
25CE003,NAN,SEM-4,0.0,2,0
25CE004,CE301,SEM-3,94.74,38,36
25CE004,CE302,SEM-3,81.08,37,30
25CE004,CE303,SEM-3,85.71,42,36
25CE004,CE304,SEM-3,89.47,38,34
25CE004,NAN,SEM-4,0.0,2,0
25CV001,CV301,SEM-3,60.53,38,23
25CV001,CV302,SEM-3,66.67,39,26
25CV001,CV303,SEM-3,67.57,37,25
25CV001,CV304,SEM-3,61.54,39,24
